点号,时间(s),时间间隔(ms),关节1(°),关节2(°),关节3(°),关节4(°),关节5(°),关节6(°),末端X(m),末端Y(m),末端Z(m)
0,0.0000,0.02,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.056135,-0.000000,0.213276
1,0.0627,62.72,-0.00,0.59,-0.16,0.00,-0.38,0.00,0.056876,-0.000000,0.214209
2,0.1252,62.42,-0.00,1.17,-0.31,0.00,-0.75,0.00,0.057629,-0.000000,0.215130
3,0.1878,62.62,-0.00,1.76,-0.46,0.00,-1.13,0.00,0.058400,-0.000000,0.216047
4,0.2501,62.32,-0.00,2.34,-0.62,0.00,-1.50,0.00,0.059181,-0.000000,0.216953
5,0.3129,62.86,-0.00,2.93,-0.77,0.00,-1.88,0.00,0.059985,-0.000000,0.217859
6,0.3752,62.25,-0.00,4.13,-1.09,0.00,-2.65,0.00,0.061678,-0.000000,0.219690
7,0.4403,65.14,-0.00,5.61,-1.48,0.00,-3.59,0.00,0.063840,-0.000000,0.221890
8,0.5004,60.10,-0.00,7.22,-1.91,0.00,-4.63,0.00,0.066307,-0.000000,0.224231
9,0.5626,62.20,-0.00,9.06,-2.39,0.00,-5.80,0.00,0.069253,-0.000001,0.226817
10,0.6251,62.49,-0.00,11.18,-2.95,0.00,-7.16,0.00,0.072828,-0.000001,0.229687
11,0.6893,64.18,-0.00,13.52,-3.57,0.00,-8.66,0.00,0.076977,-0.000001,0.232694
12,0.7504,61.13,-0.00,15.93,-4.21,0.00,-10.20,0.00,0.081468,-0.000001,0.235607
13,0.8126,62.21,-0.00,18.57,-4.90,0.00,-11.89,0.00,0.086653,-0.000002,0.238582
14,0.8752,62.51,-0.00,21.43,-5.66,0.00,-13.72,0.00,0.092544,-0.000002,0.241518
15,0.9377,62.50,-0.00,24.46,-6.46,0.00,-15.67,0.00,0.099105,-0.000002,0.244293
16,1.0002,62.56,-0.00,27.66,-7.30,0.00,-17.71,0.00,0.106326,-0.000003,0.246808
17,1.0626,62.37,-0.00,30.69,-8.10,0.00,-19.66,0.00,0.113471,-0.000004,0.248794
18,1.1251,62.53,-0.00,33.56,-8.86,0.00,-21.49,0.00,0.120455,-0.000004,0.250292
19,1.1876,62.51,-0.00,36.25,-9.57,0.00,-23.22,0.00,0.127189,-0.000005,0.251346
20,1.2503,62.68,-0.00,38.73,-10.22,0.00,-24.80,0.00,0.133531,-0.000006,0.252006
21,1.3126,62.30,-0.00,40.99,-10.82,0.00,-26.25,0.00,0.139437,-0.000006,0.252343
22,1.3751,62.52,-0.00,43.11,-11.38,0.00,-27.61,0.00,0.145043,-0.000007,0.252422
23,1.4376,62.47,-0.00,44.92,-11.86,0.00,-28.77,0.00,0.149914,-0.000007,0.252303
24,1.5001,62.50,-0.00,46.60,-12.30,0.00,-29.85,0.00,0.154449,-0.000008,0.252040
25,1.5626,62.50,-0.00,48.01,-12.68,0.00,-30.75,0.00,0.158277,-0.000008,0.251703
26,1.6251,62.50,-0.00,49.28,-13.01,0.00,-31.56,0.00,0.161775,-0.000009,0.251304
27,1.6876,62.53,-0.00,49.86,-13.17,0.00,-31.94,0.00,0.163372,-0.000009,0.251093
28,1.7501,62.47,-0.00,50.45,-13.32,0.00,-32.31,0.00,0.164971,-0.000009,0.250864
29,1.8126,62.51,-0.00,51.03,-13.47,0.00,-32.68,0.00,0.166574,-0.000009,0.250617
30,1.8751,62.54,-0.00,51.61,-13.63,0.00,-33.05,0.00,0.168181,-0.000010,0.250350
31,1.9376,62.49,-0.00,52.19,-13.78,0.00,-33.42,0.00,0.169788,-0.000010,0.250065
32,1.9505,12.89,-0.00,52.27,-13.80,0.00,-33.47,0.00,0.170006,-0.000010,0.250025
