点号,X (m),Y (m),Z (m)
1,0.056136,-0.000000,0.213276
2,0.056879,-0.000000,0.214211
3,0.057631,-0.000000,0.215129
4,0.058401,-0.000000,0.216045
5,0.059185,-0.000000,0.216951
6,0.059986,-0.000000,0.217852
7,0.061682,-0.000000,0.219683
8,0.063757,-0.000001,0.221795
9,0.066302,-0.000001,0.224209
10,0.069284,-0.000001,0.226822
11,0.072845,-0.000002,0.229673
12,0.076888,-0.000002,0.232601
13,0.081467,-0.000003,0.235569
14,0.086705,-0.000003,0.238567
15,0.092567,-0.000004,0.241478
16,0.099145,-0.000005,0.244251
17,0.106352,-0.000006,0.246752
18,0.113531,-0.000007,0.248739
19,0.120503,-0.000008,0.250224
20,0.127246,-0.000009,0.251270
21,0.133574,-0.000011,0.251921
22,0.139531,-0.000012,0.252253
23,0.145123,-0.000013,0.252323
24,0.150003,-0.000014,0.252197
25,0.154545,-0.000015,0.251926
26,0.158389,-0.000016,0.251582
27,0.161894,-0.000017,0.251176
28,0.163497,-0.000017,0.250962
29,0.165092,-0.000017,0.250731
30,0.166704,-0.000018,0.250479
31,0.168304,-0.000018,0.250210
32,0.169912,-0.000018,0.249922
33,0.170145,-0.000018,0.249879
