点号,时间(s),时间间隔(ms),关节1(°),关节2(°),关节3(°),关节4(°),关节5(°),关节6(°),速度1(°/s),速度2(°/s),速度3(°/s),速度4(°/s),速度5(°/s),速度6(°/s),加速度1(°/s²),加速度2(°/s²),加速度3(°/s²),加速度4(°/s²),加速度5(°/s²),加速度6(°/s²),末端X(m),末端Y(m),末端Z(m)
0,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.056135,0.000000,0.213276
1,0.3306,330.59,0.00,3.08,-0.89,-0.00,-1.94,-0.00,0.00,15.94,-4.62,-0.00,-10.02,-0.00,0.00,56.72,-16.45,-0.00,-35.67,-0.00,0.060140,0.000000,0.218508
2,0.4671,136.51,0.00,6.16,-1.79,-0.00,-3.87,-0.00,0.00,25.79,-7.48,-0.00,-16.22,-0.00,0.00,53.21,-15.43,-0.00,-33.46,-0.00,0.064589,0.000000,0.223534
3,0.5732,106.14,0.00,9.24,-2.68,-0.00,-5.81,-0.00,0.00,31.63,-9.17,-0.00,-19.89,-0.00,0.00,53.21,-15.43,-0.00,-33.46,-0.00,0.069471,0.000001,0.228325
4,0.6632,89.97,0.00,12.32,-3.57,-0.00,-7.75,-0.00,0.00,36.36,-10.54,-0.00,-22.86,-0.00,0.00,49.90,-14.47,-0.00,-31.38,-0.00,0.074772,0.000001,0.232853
5,0.7433,80.05,0.00,15.40,-4.47,-0.00,-9.69,-0.00,0.00,40.63,-11.78,-0.00,-25.55,-0.00,0.00,56.72,-16.45,-0.00,-35.67,-0.00,0.080479,0.000001,0.237090
6,0.8152,71.98,0.00,18.48,-5.36,-0.00,-11.62,-0.00,0.00,44.33,-12.86,-0.00,-27.88,-0.00,0.00,44.37,-12.87,-0.00,-27.90,-0.00,0.086574,0.000002,0.241009
7,0.8824,67.14,0.00,21.56,-6.25,-0.00,-13.56,-0.00,0.00,47.29,-13.71,-0.00,-29.74,-0.00,0.00,43.29,-12.55,-0.00,-27.22,-0.00,0.093039,0.000002,0.244582
8,0.9456,63.25,0.00,24.64,-7.15,-0.00,-15.50,-0.00,0.00,49.94,-14.48,-0.00,-31.41,-0.00,0.00,40.25,-11.67,-0.00,-25.31,-0.00,0.099856,0.000003,0.247786
9,1.0058,60.18,0.00,27.72,-8.04,-0.00,-17.43,-0.00,0.00,52.49,-15.22,-0.00,-33.01,-0.00,0.00,44.46,-12.89,-0.00,-27.96,-0.00,0.107002,0.000004,0.250596
10,1.0631,57.26,0.00,30.80,-8.93,-0.00,-19.37,-0.00,0.00,54.06,-15.68,-0.00,-34.00,-0.00,0.00,9.44,-2.74,-0.00,-5.94,-0.00,0.114456,0.000005,0.252989
11,1.1198,56.69,0.00,33.88,-9.82,-0.00,-21.31,-0.00,0.00,53.01,-15.37,-0.00,-33.34,-0.00,-0.00,-45.36,13.15,0.00,28.52,0.00,0.122193,0.000005,0.254944
12,1.1794,59.58,0.00,36.96,-10.72,-0.00,-23.24,-0.00,0.00,50.44,-14.63,-0.00,-31.72,-0.00,-0.00,-41.06,11.91,0.00,25.82,0.00,0.130187,0.000006,0.256440
13,1.2420,62.62,0.00,40.04,-11.61,-0.00,-25.18,-0.00,0.00,47.76,-13.85,-0.00,-30.04,-0.00,-0.00,-44.16,12.81,0.00,27.77,0.00,0.138413,0.000007,0.257459
14,1.3084,66.48,0.00,43.12,-12.50,-0.00,-27.12,-0.00,0.00,44.35,-12.86,-0.00,-27.89,-0.00,-0.00,-57.04,16.54,0.00,35.87,0.00,0.146842,0.000008,0.257984
15,1.3812,72.70,0.00,46.20,-13.40,-0.00,-29.06,-0.00,0.00,40.41,-11.72,-0.00,-25.41,-0.00,-0.00,-51.17,14.84,0.00,32.18,0.00,0.155445,0.000009,0.257998
16,1.4612,80.09,0.00,49.28,-14.29,-0.00,-30.99,-0.00,0.00,36.42,-10.56,-0.00,-22.90,-0.00,-0.00,-48.15,13.96,0.00,30.28,0.00,0.164193,0.000010,0.257488
17,1.5509,89.61,0.00,52.36,-15.18,-0.00,-32.93,-0.00,0.00,31.89,-9.25,-0.00,-20.05,-0.00,-0.00,-51.09,14.81,0.00,32.13,0.00,0.173054,0.000012,0.256442
18,1.6556,104.74,0.00,55.44,-16.08,-0.00,-34.87,-0.00,0.00,25.96,-7.53,-0.00,-16.33,-0.00,-0.00,-57.08,16.55,0.00,35.90,0.00,0.181997,0.000013,0.254848
19,1.7924,136.82,0.00,58.52,-16.97,-0.00,-36.80,-0.00,0.00,15.91,-4.61,-0.00,-10.01,-0.00,-0.00,-56.46,16.37,0.00,35.51,0.00,0.190989,0.000015,0.252700
20,2.1232,330.75,0.00,61.60,-17.86,-0.00,-38.74,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-56.31,16.33,0.00,35.41,0.00,0.199999,0.000016,0.249989
